Organization,Link,Date Scraped,Type
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-20-news-release-suncor-energy-closes-purchase-of-totalenergies-canadian-ops-en.pdf?modified=20240613191932&created=20231120213012,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-14-news-release-suncor-increases-quarterly-dividend-en.pdf?modified=20240613191932&created=20231114220607,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-09-news-release-su-bond-issuance-en.pdf?modified=20240613191932&created=20231109232903,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-08-news-release-earnings-q3-2023-en.pdf?modified=20240613191931&created=20231108164205,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-10-31-news-release-suncor-energy-to-release-third-quarter-2023-financial-results-en.pdf?modified=20240613191931&created=20231031213112,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-10-04-news-release-su-total-fort-hills-en.pdf?modified=20240613191930&created=20231004200255,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-09-05-news-release-suncor-energy-announces-changes-to-bod-en.pdf?modified=20240613191930&created=20230905105028,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-08-14-news-release-earnings-q2-2023-en.pdf?modified=20240613191929&created=20230814144224,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-08-14-news-release-q2-dividend-en.pdf?modified=20240613191929&created=20230814222444,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-08-14-news-release-su-announces-executive-leadership-team-changes-en.pdf?modified=20240613191930&created=20230814221617,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-07-25-news-release-suncor-energy-to-release-second-quarter-2023-financial-results-en.pdf?modified=20240613191928&created=20230725212752,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-07-18-news-release-suncor-energy-releases-2023-ros-and-cr-en.pdf?modified=20241002153100&created=20230718205312,10/27/2025,pdf
