Organization,Link,Date Scraped,Type
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-02-nr-su-fort-hills-acquision-closing-en.pdf?modified=20230202220123,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-01-16-news-release-suncor-energy-elliott-amend-agreement-en.pdf?modified=20230116114800,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-12-28-nr-su-ccr-en.pdf?modified=20221228234322,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-12-23-nr-update-fort-hills-acquisition-en.pdf?modified=20221223230242,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-29-news-release-su-announces-2023-production-outlook-en.pdf?modified=20221129115724,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-29-news-release-su-to-retain-and-optimize-petro-canada-en.pdf?modified=20221129114829,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-23-ma-suncor-energy-to-hold-investor-presentation-in-toronto-ontario-en.pdf?modified=20221123223327,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-15-news-release-su-increases-quarterly-dividend-en.pdf?modified=20221115230313,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-11-02-news-release-earnings-q3-2022-en.pdf?modified=20221121221802,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-27-ma-suncor-energy-to-release-third-quarter-2022-financial-results-en.pdf?modified=20221027212658,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-26-nr-su-to-acquire-additional-working-interest-in-fort-hills-project-en.pdf?modified=20221027002630,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-11-suncor-energy-to-hold-investor-presentation-in-toronto-ontario-en.pdf?modified=20221107205853,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-05-news-release-su-focuses-on-hydrogen-and-renewable-fuels-en.pdf?modified=20221107205824,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-04-nr-su-tender-offer-results-upsizing-en.pdf?modified=20221107205754,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-10-04-nr-su-tender-offer-pricing-en.pdf?modified=20221107205715,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-09-26-news-release-tender-launch-announcement-en.pdf?modified=20221107205630,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-08-04-news-release-earnings-q2-2022-en.pdf?modified=20220809193241,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-08-04-news-release-q2-dividend-en.pdf?modified=20220809194109,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-27-media-advisory-q2-2022-results-en.pdf?modified=20220909213641,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-18-news-release-su-enters-agreement-elliott-en.pdf?modified=20220909213549,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-08-suncor-energy-announces-ceo-transition-en.pdf?modified=20221101215243,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-07-news-release-su-responds-to-fatality-at-base-plant-mine-en.pdf?modified=20220909213051,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-07-05-media-advisory-su-to-hold-oil-sands-operations-presentation-en.pdf?modified=20220909212343,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-06-22-news-release-report-on-sustainability-and-climate-2022-en.pdf?modified=20220909212139,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-31-news-release-wwr-restart-and-increased-suncor-interest-en.pdf?modified=20220909200308,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-10-news-release-agm-results-en.pdf?modified=20220909200152,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-09-earnings-q1-2022-news-release-en.pdf?modified=20220909193039,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-05-09-news-release-q1-dividend-en.pdf?modified=20220909195011,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-04-28-news-release-suncor-energy-responds-to-elliot-investment-management-en.pdf?modified=20220909192402,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-04-26-media-advisory-q1-2022-results-and-agm-en.pdf?modified=20220909191623,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-04-04-nr-su-strengthens-focus-en.pdf?modified=20220909190359,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-03-22-nr-elt-announcement-pz-en.pdf?modified=20220909173342,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-03-17-nr-elt-announcement-mm-en.pdf?modified=20220831145751,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2022/2022-02-24-nr-su-ar-2021-en.pdf?modified=20220831143359,10/27/2025,pdf
