Wayback Link,Link
http://web.archive.org/web/20230601144818/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-01-ma-su-to-release-q1-results-and-host-agm-en.pdf?modified=20230501212306,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-01-ma-su-to-release-q1-results-and-host-agm-en.pdf?modified=20230501212306
http://web.archive.org/web/20230601165452/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-04-26-news-release-suncor-energy-to-acquire-totalenergies-canadian-ops-en.pdf?modified=20230427060458,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-04-26-news-release-suncor-energy-to-acquire-totalenergies-canadian-ops-en.pdf?modified=20230427060458
http://web.archive.org/web/20230601150732/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-24-news-release-su-announces-daniel-romasko-to-join-bod-en.pdf?modified=20230324105329,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-24-news-release-su-announces-daniel-romasko-to-join-bod-en.pdf?modified=20230324105329
http://web.archive.org/web/20230320183040/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-17-news-release-suncor-energy-amends-agreement-with-elliot-investment-mgmt-en.pdf?modified=20230317105140,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-17-news-release-suncor-energy-amends-agreement-with-elliot-investment-mgmt-en.pdf?modified=20230317105140
http://web.archive.org/web/20230320195731/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-06-news-release-su-annual-report-2022-en.pdf?modified=20230306223149,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-06-news-release-su-annual-report-2022-en.pdf?modified=20230306223149
http://web.archive.org/web/20230306225530/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-02-news-release-suncor-energy-announces-sale-of-uk-ep-business-en.pdf?modified=20230303023907,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-02-news-release-suncor-energy-announces-sale-of-uk-ep-business-en.pdf?modified=20230303023907
http://web.archive.org/web/20230320185920/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-21-nr-president-and-ceo-announcment-en.pdf?modified=20230221115647,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-21-nr-president-and-ceo-announcment-en.pdf?modified=20230221115647
http://web.archive.org/web/20230320193125/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-14-news-release-earnings-q4-2022-en.pdf?modified=20230317131412,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-14-news-release-earnings-q4-2022-en.pdf?modified=20230317131412
http://web.archive.org/web/20230320194509/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-14-news-release-q4-2022-dividend-en.pdf?modified=20230317131602,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-14-news-release-q4-2022-dividend-en.pdf?modified=20230317131602
http://web.archive.org/web/20230320194350/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-07-ma-su-to-release-q4-results-en.pdf?modified=20230207223301,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-07-ma-su-to-release-q4-results-en.pdf?modified=20230207223301
http://web.archive.org/web/20230320195047/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-02-nr-su-fort-hills-acquision-closing-en.pdf?modified=20230202220123,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-02-nr-su-fort-hills-acquision-closing-en.pdf?modified=20230202220123
http://web.archive.org/web/20230207182238/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-01-16-news-release-suncor-energy-elliott-amend-agreement-en.pdf?modified=20230116114800,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-01-16-news-release-suncor-energy-elliott-amend-agreement-en.pdf?modified=20230116114800
